time,step,voltage,current,chgAh,disAh
81,5,3.22978,-0.0,0,0.0
82,5,3.22962,-0.0,0,0.0
83,5,3.22978,-0.0,0,0.0
84,5,3.22962,-0.0,0,0.0
85,5,3.22962,-0.0,0,0.0
86,5,3.22962,-0.0,0,0.0
87,5,3.22962,-0.0,0,0.0
88,5,3.22978,-0.0,0,0.0
89,5,3.22962,-0.0,0,0.0
90,5,3.22962,-0.0,0,0.0
91,5,3.2293,-0.0,0,0.0
92,5,3.2293,-0.0,0,0.0
93,5,3.22962,-0.0,0,0.0
94,5,3.22946,-0.0,0,0.0
95,5,3.22962,-0.0,0,0.0
96,5,3.22978,-0.0,0,0.0
97,5,3.22946,-0.0,0,0.0
98,5,3.22962,-0.0,0,0.0
99,5,3.22946,-0.0,0,0.0
100,5,3.22946,-0.0,0,0.0
101,5,3.2293,-0.0,0,0.0
102,5,3.22946,-0.0,0,0.0
103,5,3.22962,-0.0,0,0.0
104,5,3.22962,-0.0,0,0.0
105,5,3.22994,-0.0,0,0.0
106,5,3.22978,-0.0,0,0.0
107,5,3.22962,-0.0,0,0.0
108,5,3.22962,-0.0,0,0.0
109,5,3.22978,-0.0,0,0.0
110,5,3.22978,-0.0,0,0.0
111,5,3.22978,-0.0,0,0.0
112,5,3.22978,-0.0,0,0.0
113,5,3.22978,-0.0,0,0.0
114,5,3.22978,-0.0,0,0.0
115,5,3.22962,-0.0,0,0.0
116,5,3.22962,-0.0,0,0.0
117,5,3.22946,-0.0,0,0.0
118,5,3.22946,-0.0,0,0.0
119,5,3.22946,-0.0,0,0.0
120,5,3.22962,-0.0,0,0.0
121,5,3.22962,-0.0,0,0.0
122,5,3.22962,-0.0,0,0.0
123,5,3.22946,-0.0,0,0.0
124,5,3.22946,-0.0,0,0.0
125,5,3.22946,-0.0,0,0.0
126,5,3.22946,-0.0,0,0.0
127,5,3.22978,-0.0,0,0.0
128,5,3.22978,-0.0,0,0.0
129,5,3.22994,-0.0,0,0.0
130,5,3.22978,-0.0,0,0.0
131,5,3.22962,-0.0,0,0.0
132,5,3.22946,-0.0,0,0.0
133,5,3.22962,-0.0,0,0.0
134,5,3.22962,-0.0,0,0.0
135,5,3.22978,-0.0,0,0.0
136,5,3.22962,-0.0,0,0.0
137,5,3.22978,-0.0,0,0.0
138,5,3.22962,-0.0,0,0.0
139,5,3.22978,-0.0,0,0.0
140,5,3.22978,-0.0,0,0.0
141,5,3.22962,-0.0,0,0.0
142,5,3.22962,-0.0,0,0.0
143,5,3.22946,-0.0,0,0.0
144,5,3.22946,-0.0,0,0.0
145,5,3.2293,-0.0,0,0.0
146,5,3.22946,-0.0,0,0.0
147,5,3.2293,-0.0,0,0.0
148,5,3.22946,-0.0,0,0.0
149,5,3.22946,-0.0,0,0.0
150,5,3.2293,-0.0,0,0.0
151,5,3.2293,-0.0,0,0.0
152,5,3.22946,-0.0,0,0.0
153,5,3.22946,-0.0,0,0.0
154,5,3.22946,-0.0,0,0.0
155,5,3.22962,-0.0,0,0.0
156,5,3.22946,-0.0,0,0.0
157,5,3.22946,-0.0,0,0.0
158,5,3.2293,-0.0,0,0.0
159,5,3.22946,-0.0,0,0.0
160,5,3.2293,-0.0,0,0.0
161,5,3.2293,-0.0,0,0.0
162,5,3.22946,-0.0,0,0.0
163,5,3.2293,-0.0,0,0.0
164,5,3.2293,-0.0,0,0.0
165,5,3.2293,-0.0,0,0.0
166,5,3.2293,-0.0,0,0.0
167,5,3.22946,-0.0,0,0.0
168,5,3.22946,-0.0,0,0.0
169,5,3.22962,-0.0,0,0.0
170,5,3.22962,-0.0,0,0.0
171,5,3.22962,-0.0,0,0.0
172,5,3.22962,-0.0,0,0.0
173,5,3.22962,-0.0,0,0.0
174,5,3.22978,-0.0,0,0.0
175,5,3.22978,-0.0,0,0.0
176,5,3.22978,-0.0,0,0.0
177,5,3.22978,-0.0,0,0.0
178,5,3.22978,-0.0,0,0.0
179,5,3.22978,-0.0,0,0.0
180,5,3.22978,-0.0,0,0.0
181,5,3.22946,-0.0,0,0.0
182,5,3.22946,-0.0,0,0.0
183,5,3.22962,-0.0,0,0.0
184,5,3.22962,-0.0,0,0.0
185,5,3.22962,-0.0,0,0.0
186,5,3.22962,-0.0,0,0.0
187,5,3.22962,-0.0,0,0.0
188,5,3.22978,-0.0,0,0.0
189,5,3.22962,-0.0,0,0.0
190,5,3.22962,-0.0,0,0.0
191,5,3.22962,-0.0,0,0.0
192,5,3.22962,-0.0,0,0.0
193,5,3.22962,-0.0,0,0.0
194,5,3.2293,-0.0,0,0.0
195,5,3.2293,-0.0,0,0.0
196,5,3.22946,-0.0,0,0.0
197,5,3.2293,-0.0,0,0.0
198,5,3.22946,-0.0,0,0.0
199,5,3.2293,-0.0,0,0.0
200,5,3.22946,-0.0,0,0.0
201,5,3.22946,-0.0,0,0.0
202,5,3.22962,-0.0,0,0.0
203,5,3.22946,-0.0,0,0.0
204,5,3.22946,-0.0,0,0.0
205,5,3.22946,-0.0,0,0.0
206,5,3.22913,-0.0,0,0.0
207,5,3.22913,-0.0,0,0.0
208,5,3.2293,-0.0,0,0.0
209,5,3.2293,-0.0,0,0.0
210,5,3.22913,-0.0,0,0.0
211,5,3.2293,-0.0,0,0.0
212,5,3.22913,-0.0,0,0.0
213,5,3.2293,-0.0,0,0.0
214,5,3.22913,-0.0,0,0.0
215,5,3.2293,-0.0,0,0.0
216,5,3.22962,-0.0,0,0.0
217,5,3.22962,-0.0,0,0.0
218,5,3.22962,-0.0,0,0.0
219,5,3.22978,-0.0,0,0.0
220,5,3.22978,-0.0,0,0.0
221,5,3.22962,-0.0,0,0.0
222,5,3.22978,-0.0,0,0.0
223,5,3.22978,-0.0,0,0.0
224,5,3.22978,-0.0,0,0.0
225,5,3.22978,-0.0,0,0.0
226,5,3.22962,-0.0,0,0.0
227,5,3.22962,-0.0,0,0.0
228,5,3.22946,-0.0,0,0.0
229,5,3.22946,-0.0,0,0.0
230,5,3.22946,-0.0,0,0.0
231,5,3.22962,-0.0,0,0.0
232,5,3.22962,-0.0,0,0.0
233,5,3.22962,-0.0,0,0.0
234,5,3.22946,-0.0,0,0.0
235,5,3.22962,-0.0,0,0.0
236,5,3.22962,-0.0,0,0.0
237,5,3.22962,-0.0,0,0.0
238,5,3.22962,-0.0,0,0.0
239,5,3.2293,-0.0,0,0.0
240,5,3.2293,-0.0,0,0.0
241,5,3.2293,-0.0,0,0.0
242,5,3.22913,-0.0,0,0.0
243,5,3.22913,-0.0,0,0.0
244,5,3.2293,-0.0,0,0.0
245,5,3.22962,-0.0,0,0.0
246,5,3.22946,-0.0,0,0.0
247,5,3.22946,-0.0,0,0.0
248,5,3.22946,-0.0,0,0.0
249,5,3.22946,-0.0,0,0.0
250,5,3.22962,-0.0,0,0.0
251,5,3.22946,-0.0,0,0.0
252,5,3.22962,-0.0,0,0.0
253,5,3.22946,-0.0,0,0.0
254,5,3.22946,-0.0,0,0.0
255,5,3.22946,-0.0,0,0.0
256,5,3.22946,-0.0,0,0.0
257,5,3.22946,-0.0,0,0.0
258,5,3.22962,-0.0,0,0.0
259,5,3.22962,-0.0,0,0.0
260,5,3.22962,-0.0,0,0.0
261,5,3.22962,-0.0,0,0.0
262,5,3.22946,-0.0,0,0.0
263,5,3.2293,-0.0,0,0.0
264,5,3.22913,-0.0,0,0.0
265,5,3.2293,-0.0,0,0.0
266,5,3.2293,-0.0,0,0.0
267,5,3.2293,-0.0,0,0.0
268,5,3.2293,-0.0,0,0.0
269,5,3.2293,-0.0,0,0.0
270,5,3.22946,-0.0,0,0.0
271,5,3.22946,-0.0,0,0.0
272,5,3.2293,-0.0,0,0.0
273,5,3.2293,-0.0,0,0.0
274,5,3.2293,-0.0,0,0.0
275,5,3.2293,-0.0,0,0.0
276,5,3.22946,-0.0,0,0.0
277,5,3.2293,-0.0,0,0.0
278,5,3.22913,-0.0,0,0.0
279,5,3.2293,-0.0,0,0.0
280,5,3.2293,-0.0,0,0.0
281,5,3.2293,-0.0,0,0.0
282,5,3.2293,-0.0,0,0.0
283,5,3.22946,-0.0,0,0.0
284,5,3.2293,-0.0,0,0.0
285,5,3.2293,-0.0,0,0.0
286,5,3.22946,-0.0,0,0.0
287,5,3.22946,-0.0,0,0.0
288,5,3.22962,-0.0,0,0.0
289,5,3.22978,-0.0,0,0.0
290,5,3.22962,-0.0,0,0.0
291,5,3.22962,-0.0,0,0.0
292,5,3.22962,-0.0,0,0.0
293,5,3.22946,-0.0,0,0.0
294,5,3.22962,-0.0,0,0.0
295,5,3.22946,-0.0,0,0.0
296,5,3.22946,-0.0,0,0.0
297,5,3.22946,-0.0,0,0.0
298,5,3.22946,-0.0,0,0.0
299,5,3.22946,-0.0,0,0.0
300,5,3.22946,-0.0,0,0.0
301,5,3.2293,-0.0,0,0.0
302,5,3.22946,-0.0,0,0.0
303,5,3.22946,-0.0,0,0.0
304,5,3.22946,-0.0,0,0.0
305,5,3.2293,-0.0,0,0.0
306,5,3.2293,-0.0,0,0.0
307,5,3.22913,-0.0,0,0.0
308,5,3.22913,-0.0,0,0.0
309,5,3.22913,-0.0,0,0.0
310,5,3.2293,-0.0,0,0.0
311,5,3.22946,-0.0,0,0.0
312,5,3.22962,-0.0,0,0.0
313,5,3.22962,-0.0,0,0.0
314,5,3.22962,-0.0,0,0.0
315,5,3.22962,-0.0,0,0.0
316,5,3.22962,-0.0,0,0.0
317,5,3.22962,-0.0,0,0.0
318,5,3.22946,-0.0,0,0.0
319,5,3.22946,-0.0,0,0.0
320,5,3.22946,-0.0,0,0.0
321,5,3.22962,-0.0,0,0.0
322,5,3.22962,-0.0,0,0.0
323,5,3.22962,-0.0,0,0.0
324,5,3.22994,-0.0,0,0.0
325,5,3.22962,-0.0,0,0.0
326,5,3.22994,-0.0,0,0.0
327,5,3.22978,-0.0,0,0.0
328,5,3.22962,-0.0,0,0.0
329,5,3.22962,-0.0,0,0.0
330,5,3.22978,-0.0,0,0.0
331,5,3.22978,-0.0,0,0.0
332,5,3.22978,-0.0,0,0.0
333,5,3.22962,-0.0,0,0.0
334,5,3.22978,-0.0,0,0.0
335,5,3.22962,-0.0,0,0.0
336,5,3.22946,-0.0,0,0.0
337,5,3.22946,-0.0,0,0.0
338,5,3.22962,-0.0,0,0.0
339,5,3.22946,-0.0,0,0.0
340,5,3.22946,-0.0,0,0.0
341,5,3.22946,-0.0,0,0.0
342,5,3.22946,-0.0,0,0.0
343,5,3.2293,-0.0,0,0.0
344,5,3.22978,-0.0,0,0.0
345,5,3.2293,-0.0,0,0.0
346,5,3.2293,-0.0,0,0.0
347,5,3.22946,-0.0,0,0.0
348,5,3.22946,-0.0,0,0.0
349,5,3.2293,-0.0,0,0.0
350,5,3.2293,-0.0,0,0.0
351,5,3.22946,-0.0,0,0.0
352,5,3.2293,-0.0,0,0.0
353,5,3.2293,-0.0,0,0.0
354,5,3.2293,-0.0,0,0.0
355,5,3.22946,-0.0,0,0.0
356,5,3.22978,-0.0,0,0.0
357,5,3.22946,-0.0,0,0.0
358,5,3.22978,-0.0,0,0.0
359,5,3.22946,-0.0,0,0.0
360,5,3.22978,-0.0,0,0.0
361,5,3.22946,-0.0,0,0.0
362,5,3.22946,-0.0,0,0.0
363,5,3.2293,-0.0,0,0.0
364,5,3.22946,-0.0,0,0.0
365,5,3.22946,-0.0,0,0.0
366,5,3.22978,-0.0,0,0.0
367,5,3.22962,-0.0,0,0.0
368,5,3.22962,-0.0,0,0.0
369,5,3.22978,-0.0,0,0.0
370,5,3.22978,-0.0,0,0.0
371,5,3.22946,-0.0,0,0.0
372,5,3.22962,-0.0,0,0.0
373,5,3.22946,-0.0,0,0.0
374,5,3.22946,-0.0,0,0.0
375,5,3.22946,-0.0,0,0.0
376,5,3.22962,-0.0,0,0.0
377,5,3.22946,-0.0,0,0.0
378,5,3.22962,-0.0,0,0.0
379,5,3.22962,-0.0,0,0.0
380,5,3.22946,-0.0,0,0.0
381,5,3.22946,-0.0,0,0.0
382,5,3.22946,-0.0,0,0.0
383,5,3.22962,-0.0,0,0.0
384,5,3.22962,-0.0,0,0.0
385,5,3.22946,-0.0,0,0.0
386,5,3.22946,-0.0,0,0.0
387,5,3.22962,-0.0,0,0.0
388,5,3.22946,-0.0,0,0.0
389,5,3.22946,-0.0,0,0.0
390,5,3.22946,-0.0,0,0.0
391,5,3.22946,-0.0,0,0.0
392,5,3.2293,-0.0,0,0.0
393,5,3.2293,-0.0,0,0.0
394,5,3.2293,-0.0,0,0.0
395,5,3.22946,-0.0,0,0.0
396,5,3.22962,-0.0,0,0.0
397,5,3.22946,-0.0,0,0.0
398,5,3.2293,-0.0,0,0.0
399,5,3.22946,-0.0,0,0.0
400,5,3.2293,-0.0,0,0.0
401,5,3.2293,-0.0,0,0.0
402,5,3.22946,-0.0,0,0.0
403,5,3.2293,-0.0,0,0.0
404,5,3.22913,-0.0,0,0.0
405,5,3.22913,-0.0,0,0.0
406,5,3.2293,-0.0,0,0.0
407,5,3.2293,-0.0,0,0.0
408,5,3.22913,-0.0,0,0.0
409,5,3.22913,-0.0,0,0.0
410,5,3.22913,-0.0,0,0.0
411,5,3.22913,-0.0,0,0.0
412,5,3.2293,-0.0,0,0.0
413,5,3.2293,-0.0,0,0.0
414,5,3.2293,-0.0,0,0.0
415,5,3.2293,-0.0,0,0.0
416,5,3.2293,-0.0,0,0.0
417,5,3.22946,-0.0,0,0.0
418,5,3.22946,-0.0,0,0.0
419,5,3.2293,-0.0,0,0.0
420,5,3.2293,-0.0,0,0.0
421,5,3.2293,-0.0,0,0.0
422,5,3.2293,-0.0,0,0.0
423,5,3.2293,-0.0,0,0.0
424,5,3.2293,-0.0,0,0.0
425,5,3.22913,-0.0,0,0.0
426,5,3.22913,-0.0,0,0.0
427,5,3.2293,-0.0,0,0.0
428,5,3.2293,-0.0,0,0.0
429,5,3.2293,-0.0,0,0.0
430,5,3.22913,-0.0,0,0.0
431,5,3.2293,-0.0,0,0.0
432,5,3.22913,-0.0,0,0.0
433,5,3.2293,-0.0,0,0.0
434,5,3.22913,-0.0,0,0.0
435,5,3.22913,-0.0,0,0.0
436,5,3.22913,-0.0,0,0.0
437,5,3.22897,-0.0,0,0.0
438,5,3.22913,-0.0,0,0.0
439,5,3.22897,-0.0,0,0.0
440,5,3.22913,-0.0,0,0.0
441,5,3.22897,-0.0,0,0.0
442,5,3.22897,-0.0,0,0.0
443,5,3.22913,-0.0,0,0.0
444,5,3.22913,-0.0,0,0.0
445,5,3.2293,-0.0,0,0.0
446,5,3.2293,-0.0,0,0.0
447,5,3.2293,-0.0,0,0.0
448,5,3.22913,-0.0,0,0.0
449,5,3.22946,-0.0,0,0.0
450,5,3.22913,-0.0,0,0.0
451,5,3.2293,-0.0,0,0.0
452,5,3.2293,-0.0,0,0.0
453,5,3.2293,-0.0,0,0.0
454,5,3.2293,-0.0,0,0.0
455,5,3.2293,-0.0,0,0.0
456,5,3.2293,-0.0,0,0.0
457,5,3.22946,-0.0,0,0.0
458,5,3.2293,-0.0,0,0.0
459,5,3.22946,-0.0,0,0.0
460,5,3.22946,-0.0,0,0.0
461,5,3.22946,-0.0,0,0.0
462,5,3.2293,-0.0,0,0.0
463,5,3.2293,-0.0,0,0.0
464,5,3.2293,-0.0,0,0.0
465,5,3.2293,-0.0,0,0.0
466,5,3.22913,-0.0,0,0.0
467,5,3.22897,-0.0,0,0.0
468,5,3.22913,-0.0,0,0.0
469,5,3.22897,-0.0,0,0.0
470,5,3.22897,-0.0,0,0.0
471,5,3.22897,-0.0,0,0.0
472,5,3.22913,-0.0,0,0.0
473,5,3.22897,-0.0,0,0.0
474,5,3.22913,-0.0,0,0.0
475,5,3.22913,-0.0,0,0.0
476,5,3.22913,-0.0,0,0.0
477,5,3.22913,-0.0,0,0.0
478,5,3.22897,-0.0,0,0.0
479,5,3.2293,-0.0,0,0.0
480,5,3.22913,-0.0,0,0.0
481,5,3.22913,-0.0,0,0.0
482,5,3.22913,-0.0,0,0.0
483,5,3.2293,-0.0,0,0.0
484,5,3.2293,-0.0,0,0.0
485,5,3.2293,-0.0,0,0.0
486,5,3.22946,-0.0,0,0.0
487,5,3.22946,-0.0,0,0.0
488,5,3.2293,-0.0,0,0.0
489,5,3.2293,-0.0,0,0.0
490,5,3.22946,-0.0,0,0.0
491,5,3.22913,-0.0,0,0.0
492,5,3.22913,-0.0,0,0.0
493,5,3.22913,-0.0,0,0.0
494,5,3.22897,-0.0,0,0.0
495,5,3.22897,-0.0,0,0.0
496,5,3.22897,-0.0,0,0.0
497,5,3.22897,-0.0,0,0.0
498,5,3.22897,-0.0,0,0.0
499,5,3.22913,-0.0,0,0.0
500,5,3.22913,-0.0,0,0.0
501,5,3.22913,-0.0,0,0.0
502,5,3.2293,-0.0,0,0.0
503,5,3.2293,-0.0,0,0.0
504,5,3.22913,-0.0,0,0.0
505,5,3.22897,-0.0,0,0.0
506,5,3.22913,-0.0,0,0.0
507,5,3.22913,-0.0,0,0.0
508,5,3.2293,-0.0,0,0.0
509,5,3.22946,-0.0,0,0.0
510,5,3.22946,-0.0,0,0.0
511,5,3.22946,-0.0,0,0.0
512,5,3.2293,-0.0,0,0.0
513,5,3.22946,-0.0,0,0.0
514,5,3.22913,-0.0,0,0.0
515,5,3.2293,-0.0,0,0.0
516,5,3.2293,-0.0,0,0.0
517,5,3.22913,-0.0,0,0.0
518,5,3.22946,-0.0,0,0.0
519,5,3.22946,-0.0,0,0.0
520,5,3.2293,-0.0,0,0.0
521,5,3.2293,-0.0,0,0.0
522,5,3.22913,-0.0,0,0.0
523,5,3.22913,-0.0,0,0.0
524,5,3.22913,-0.0,0,0.0
525,5,3.22913,-0.0,0,0.0
526,5,3.22913,-0.0,0,0.0
527,5,3.2293,-0.0,0,0.0
528,5,3.2293,-0.0,0,0.0
529,5,3.22913,-0.0,0,0.0
530,5,3.22897,-0.0,0,0.0
531,5,3.2293,-0.0,0,0.0
532,5,3.22946,-0.0,0,0.0
533,5,3.22946,-0.0,0,0.0
534,5,3.22946,-0.0,0,0.0
535,5,3.2293,-0.0,0,0.0
536,5,3.22946,-0.0,0,0.0
537,5,3.2293,-0.0,0,0.0
538,5,3.22946,-0.0,0,0.0
539,5,3.22946,-0.0,0,0.0
540,5,3.22946,-0.0,0,0.0
541,5,3.22946,-0.0,0,0.0
542,5,3.2293,-0.0,0,0.0
543,5,3.22913,-0.0,0,0.0
544,5,3.22897,-0.0,0,0.0
545,5,3.22897,-0.0,0,0.0
546,5,3.22881,-0.0,0,0.0
547,5,3.22897,-0.0,0,0.0
548,5,3.22913,-0.0,0,0.0
549,5,3.2293,-0.0,0,0.0
550,5,3.22913,-0.0,0,0.0
551,5,3.22913,-0.0,0,0.0
552,5,3.22897,-0.0,0,0.0
553,5,3.22897,-0.0,0,0.0
554,5,3.22881,-0.0,0,0.0
555,5,3.22881,-0.0,0,0.0
556,5,3.22897,-0.0,0,0.0
557,5,3.22897,-0.0,0,0.0
558,5,3.22913,-0.0,0,0.0
559,5,3.22897,-0.0,0,0.0
560,5,3.22913,-0.0,0,0.0
561,5,3.22913,-0.0,0,0.0
562,5,3.22913,-0.0,0,0.0
563,5,3.22897,-0.0,0,0.0
564,5,3.22897,-0.0,0,0.0
565,5,3.22913,-0.0,0,0.0
566,5,3.22881,-0.0,0,0.0
567,5,3.22897,-0.0,0,0.0
568,5,3.22897,-0.0,0,0.0
569,5,3.22913,-0.0,0,0.0
570,5,3.22881,-0.0,0,0.0
571,5,3.22865,-0.0,0,0.0
572,5,3.22881,-0.0,0,0.0
573,5,3.22897,-0.0,0,0.0
574,5,3.22897,-0.0,0,0.0
575,5,3.22913,-0.0,0,0.0
576,5,3.22913,-0.0,0,0.0
577,5,3.22913,-0.0,0,0.0
578,5,3.22897,-0.0,0,0.0
579,5,3.22913,-0.0,0,0.0
580,5,3.22946,-0.0,0,0.0
581,5,3.22946,-0.0,0,0.0
582,5,3.22913,-0.0,0,0.0
583,5,3.2293,-0.0,0,0.0
584,5,3.2293,-0.0,0,0.0
585,5,3.2293,-0.0,0,0.0
586,5,3.2293,-0.0,0,0.0
587,5,3.2293,-0.0,0,0.0
588,5,3.22913,-0.0,0,0.0
589,5,3.22881,-0.0,0,0.0
590,5,3.22881,-0.0,0,0.0
591,5,3.22897,-0.0,0,0.0
592,5,3.22897,-0.0,0,0.0
593,5,3.22897,-0.0,0,0.0
594,5,3.2293,-0.0,0,0.0
595,5,3.22913,-0.0,0,0.0
596,5,3.2293,-0.0,0,0.0
597,5,3.22946,-0.0,0,0.0
598,5,3.2293,-0.0,0,0.0
599,5,3.22913,-0.0,0,0.0
600,5,3.22913,-0.0,0,0.0
601,5,3.22946,-0.0,0,0.0
602,5,3.2293,-0.0,0,0.0
603,5,3.22913,-0.0,0,0.0
604,5,3.2293,-0.0,0,0.0
605,5,3.2293,-0.0,0,0.0
606,5,3.22913,-0.0,0,0.0
607,5,3.2293,-0.0,0,0.0
608,5,3.2293,-0.0,0,0.0
609,5,3.22913,-0.0,0,0.0
610,5,3.22946,-0.0,0,0.0
611,5,3.2293,-0.0,0,0.0
612,5,3.2293,-0.0,0,0.0
613,5,3.2293,-0.0,0,0.0
614,5,3.22913,-0.0,0,0.0
615,5,3.22897,-0.0,0,0.0
616,5,3.22913,-0.0,0,0.0
617,5,3.22913,-0.0,0,0.0
618,5,3.22913,-0.0,0,0.0
619,5,3.22913,-0.0,0,0.0
620,5,3.22897,-0.0,0,0.0
621,5,3.2293,-0.0,0,0.0
622,5,3.2293,-0.0,0,0.0
623,5,3.2293,-0.0,0,0.0
624,5,3.22897,-0.0,0,0.0
625,5,3.22897,-0.0,0,0.0
626,5,3.22946,-0.0,0,0.0
627,5,3.22913,-0.0,0,0.0
628,5,3.22946,-0.0,0,0.0
629,5,3.22913,-0.0,0,0.0
630,5,3.22913,-0.0,0,0.0
631,5,3.2293,-0.0,0,0.0
632,5,3.22913,-0.0,0,0.0
633,5,3.22881,-0.0,0,0.0
634,5,3.22865,-0.0,0,0.0
635,5,3.22881,-0.0,0,0.0
636,5,3.22865,-0.0,0,0.0
637,5,3.22865,-0.0,0,0.0
638,5,3.22865,-0.0,0,0.0
639,5,3.22881,-0.0,0,0.0
640,5,3.22881,-0.0,0,0.0
641,5,3.22881,-0.0,0,0.0
642,5,3.22881,-0.0,0,0.0
643,5,3.22881,-0.0,0,0.0
644,5,3.22897,-0.0,0,0.0
645,5,3.2293,-0.0,0,0.0
646,5,3.22897,-0.0,0,0.0
647,5,3.22897,-0.0,0,0.0
648,5,3.22897,-0.0,0,0.0
649,5,3.22897,-0.0,0,0.0
650,5,3.22881,-0.0,0,0.0
651,5,3.22881,-0.0,0,0.0
652,5,3.22897,-0.0,0,0.0
653,5,3.22897,-0.0,0,0.0
654,5,3.22897,-0.0,0,0.0
655,5,3.22897,-0.0,0,0.0
656,5,3.22897,-0.0,0,0.0
657,5,3.22897,-0.0,0,0.0
658,5,3.22897,-0.0,0,0.0
659,5,3.22897,-0.0,0,0.0
660,5,3.22897,-0.0,0,0.0
661,5,3.22881,-0.0,0,0.0
662,5,3.22897,-0.0,0,0.0
663,5,3.22897,-0.0,0,0.0
664,5,3.22897,-0.0,0,0.0
665,5,3.22881,-0.0,0,0.0
666,5,3.22881,-0.0,0,0.0
667,5,3.22913,-0.0,0,0.0
668,5,3.22881,-0.0,0,0.0
669,5,3.22881,-0.0,0,0.0
670,5,3.22913,-0.0,0,0.0
671,5,3.22913,-0.0,0,0.0
672,5,3.22913,-0.0,0,0.0
673,5,3.2293,-0.0,0,0.0
674,5,3.2293,-0.0,0,0.0
675,5,3.22946,-0.0,0,0.0
676,5,3.2293,-0.0,0,0.0
677,5,3.2293,-0.0,0,0.0
678,5,3.22913,-0.0,0,0.0
679,5,3.22913,-0.0,0,0.0
680,5,3.22913,-0.0,0,0.0
681,5,3.22897,-0.0,0,0.0
682,5,3.22913,-0.0,0,0.0
683,5,3.22897,-0.0,0,0.0
684,5,3.22913,-0.0,0,0.0
685,5,3.22913,-0.0,0,0.0
686,5,3.22913,-0.0,0,0.0
687,5,3.2293,-0.0,0,0.0
688,5,3.22897,-0.0,0,0.0
689,5,3.22897,-0.0,0,0.0
690,5,3.22881,-0.0,0,0.0
691,5,3.22865,-0.0,0,0.0
692,5,3.22865,-0.0,0,0.0
693,5,3.22881,-0.0,0,0.0
694,5,3.22913,-0.0,0,0.0
695,5,3.22897,-0.0,0,0.0
696,5,3.22913,-0.0,0,0.0
697,5,3.22897,-0.0,0,0.0
